qtext,label,atext
Can small lymphocytic lymphoma be cured?,1,"In time, though, SLL can turn into a more aggressive type of lymphoma."
Can small lymphocytic lymphoma be cured?,0,"Small lymphocytic lymphoma ( SLL) is a cancer that affects a type of white blood cell called a ""lymphocyte,"" which helps your body fight infection."
Can small lymphocytic lymphoma be cured?,0,"You may hear your doctor refer to SLL as a ""non- Hodgkin's lymphoma,"" which is a group of cancers that affect lymphocytes."
What can you do to stay healthy with small lymphocytic lymphoma?,1,Try your best to avoid infections.
What can you do to stay healthy with small lymphocytic lymphoma?,1,"Eat a healthy diet, get proper rest, and stay away from sick people."
What can you do to stay healthy with small lymphocytic lymphoma?,0,"Small lymphocytic lymphoma ( SLL) is a cancer that affects a type of white blood cell called a ""lymphocyte,"" which helps your body fight infection."
What can you do to stay healthy with small lymphocytic lymphoma?,0,"You may hear your doctor refer to SLL as a ""non- Hodgkin's lymphoma,"" which is a group of cancers that affect lymphocytes."
How is small lymphocytic lymphoma diagnosed?,1,"When symptoms appear, they may include: Painless swelling in the neck, armpit, or groin Loss of appetite Fatigue Night sweats Fever Weight loss Your doctor will do a physical exam and may ask you questions such as: Have you ever noticed any swelling in your neck, armpit, or groin?"
How is small lymphocytic lymphoma diagnosed?,1,Your doctor may also ask you to get a lymph node biopsy.
How is small lymphocytic lymphoma diagnosed?,0,"Small lymphocytic lymphoma ( SLL) is a cancer that affects a type of white blood cell called a ""lymphocyte,"" which helps your body fight infection."
How is small lymphocytic lymphoma diagnosed?,0,"You may hear your doctor refer to SLL as a ""non- Hodgkin's lymphoma,"" which is a group of cancers that affect lymphocytes."
How is small lymphocytic lymphoma diagnosed?,0,"When you have SLL, too many ineffective lymphocytes live and multiply in your lymph nodes."
What are symptoms of small lymphocytic lymphoma?,1,You might not have any obvious symptoms when you're diagnosed with SLL.
What are symptoms of small lymphocytic lymphoma?,1,"When symptoms appear, they may include: Painless swelling in the neck, armpit, or groin Loss of appetite Fatigue Night sweats Fever Weight loss Your doctor will do a physical exam and may ask you questions such as: Have you ever noticed any swelling in your neck, armpit, or groin?"
What are symptoms of small lymphocytic lymphoma?,0,"Small lymphocytic lymphoma ( SLL) is a cancer that affects a type of white blood cell called a ""lymphocyte,"" which helps your body fight infection."
What are symptoms of small lymphocytic lymphoma?,0,"You may hear your doctor refer to SLL as a ""non- Hodgkin's lymphoma,"" which is a group of cancers that affect lymphocytes."
What tests diagnose small lymphocytic lymphoma?,1,This is the main test to diagnose SLL.
What tests diagnose small lymphocytic lymphoma?,1,Your doctor removes the lymph node and checks it under a microscope for signs of cancer.
What tests diagnose small lymphocytic lymphoma?,0,"Small lymphocytic lymphoma ( SLL) is a cancer that affects a type of white blood cell called a ""lymphocyte,"" which helps your body fight infection."
What tests diagnose small lymphocytic lymphoma?,0,"You may hear your doctor refer to SLL as a ""non- Hodgkin's lymphoma,"" which is a group of cancers that affect lymphocytes."
What tests diagnose small lymphocytic lymphoma?,0,"When you have SLL, too many ineffective lymphocytes live and multiply in your lymph nodes."
What causes small lymphocytic lymphoma?,1,Doctors don't know exactly what causes it.
What causes small lymphocytic lymphoma?,1,The average age that people get diagnosed with the disease is 65.
What causes small lymphocytic lymphoma?,0,"Small lymphocytic lymphoma ( SLL) is a cancer that affects a type of white blood cell called a ""lymphocyte,"" which helps your body fight infection."
What causes small lymphocytic lymphoma?,0,"You may hear your doctor refer to SLL as a ""non- Hodgkin's lymphoma,"" which is a group of cancers that affect lymphocytes."
What is small lymphocytic lymphoma?,1,"Small lymphocytic lymphoma ( SLL) is a cancer that affects a type of white blood cell called a ""lymphocyte,"" which helps your body fight infection."
What is small lymphocytic lymphoma?,1,"You may hear your doctor refer to SLL as a ""non- Hodgkin's lymphoma,"" which is a group of cancers that affect lymphocytes."
What is small lymphocytic lymphoma?,0,"These are pea-sized organs in your neck, groin, armpits, and elsewhere, that are part of your immune system."
What is small lymphocytic lymphoma?,0,SLL tends to grow slowly.
How is small lymphocytic lymphoma treated?,1,You might not have any obvious symptoms when you're diagnosed with SLL.
How is small lymphocytic lymphoma treated?,1,"During this period, he'll monitor you and start treatment if the disease starts to get worse."
How is small lymphocytic lymphoma treated?,0,"Small lymphocytic lymphoma ( SLL) is a cancer that affects a type of white blood cell called a ""lymphocyte,"" which helps your body fight infection."
How is small lymphocytic lymphoma treated?,0,"You may hear your doctor refer to SLL as a ""non- Hodgkin's lymphoma,"" which is a group of cancers that affect lymphocytes."
How is small lymphocytic lymphoma treated?,0,"When you have SLL, too many ineffective lymphocytes live and multiply in your lymph nodes."
Why is a support system important in managing chronic cancer and who should be a part of it?,1,"Even if your cancer is stable and life feels normal, it's important to have a good support system."
Why is a support system important in managing chronic cancer and who should be a part of it?,1,"You may be independent, strong, and feel healthy, but chronic conditions have ups and downs, and the road ahead of you can be long."
Why is a support system important in managing chronic cancer and who should be a part of it?,1,There's lots of support these days for the families of people with cancer.
Why is a support system important in managing chronic cancer and who should be a part of it?,0,Cancer treatments are getting smarter and better.
Why is a support system important in managing chronic cancer and who should be a part of it?,0,"As a result, people are treating -- and living with -- cancer longer."
What is a chronic disease?,1,It's a condition you can control with treatment for months.
What is a chronic disease?,1,"Asthma, diabetes, and depression are common examples."
What is a chronic disease?,1,"Often they don't have a cure, but you can live with them and manage their symptoms."
What is a chronic disease?,0,Cancer treatments are getting smarter and better.
What is a chronic disease?,0,"As a result, people are treating -- and living with -- cancer longer."
What is a chronic disease?,0,How much longer?
Is cancer treatment the same for everyone?,1,"There are many things that affect how long your cancer treatment could last, including: What type of cancer you have Your treatment schedule or plan How often your cancer has come back How aggressive it is Your age Your overall health How well you handle treatment How well the cancer responds to treatment The types of treatment you get Cancer care starts at prevention and continues through early detection, diagnosis, treatment, and survival."
Is cancer treatment the same for everyone?,1,"More and more, it's tailored to each person."
Is cancer treatment the same for everyone?,1,There are therapies that work with your body's makeup to help you fight cancer more effectively.
Is cancer treatment the same for everyone?,0,Cancer treatments are getting smarter and better.
Is cancer treatment the same for everyone?,0,"As a result, people are treating -- and living with -- cancer longer."
Have cancer treatments improved?,1,"As a result, people are treating -- and living with -- cancer longer."
Have cancer treatments improved?,1,"Even when a cure isn't available, you can often live and thrive for years."
Have cancer treatments improved?,1,Cancer is moving into a new category: manageable chronic disease.
Have cancer treatments improved?,0,Cancer treatments are getting smarter and better.
Have cancer treatments improved?,0,How much longer?
What are the most common types of immunotherapy?,1,The most common types are: Monoclonal antibodies: These are molecules made in a laboratory.
What are the most common types of immunotherapy?,1,Personalized medicine uses your genetic code to help predict how cancer will act in your body.
What are the most common types of immunotherapy?,0,Cancer treatments are getting smarter and better.
What are the most common types of immunotherapy?,0,"As a result, people are treating -- and living with -- cancer longer."
What are the most common types of immunotherapy?,0,How much longer?
What affects the duration and symptoms of chronic cancer?,1,"Often they don't have a cure, but you can live with them and manage their symptoms."
What affects the duration and symptoms of chronic cancer?,1,"There are many things that affect how long your cancer treatment could last, including: What type of cancer you have Your treatment schedule or plan How often your cancer has come back How aggressive it is Your age Your overall health How well you handle treatment How well the cancer responds to treatment The types of treatment you get Cancer care starts at prevention and continues through early detection, diagnosis, treatment, and survival."
What affects the duration and symptoms of chronic cancer?,0,Cancer treatments are getting smarter and better.
What affects the duration and symptoms of chronic cancer?,0,"As a result, people are treating -- and living with -- cancer longer."
Is it possible to take chemotherapy in pill form?,1,"The disease can also go through cycles of growing, shrinking, and staying the same."
Is it possible to take chemotherapy in pill form?,1,"Chemo to Go: In the past, many cancers needed chemotherapy or other IV drug treatment."
Is it possible to take chemotherapy in pill form?,1,"Now, in some cases, you can get the same or better results with pills you can take at home."
Is it possible to take chemotherapy in pill form?,0,Cancer treatments are getting smarter and better.
Is it possible to take chemotherapy in pill form?,0,"As a result, people are treating -- and living with -- cancer longer."
Is it possible to take chemotherapy in pill form?,0,How much longer?
How do I figure out what may be causing my child's cough?,1,Ask yourself some questions: Does your child have other symptoms?
How do I figure out what may be causing my child's cough?,1,A cough that comes with a runny nose and sneezing may point to a cold.
How do I figure out what may be causing my child's cough?,1,"Those symptoms, body aches, and a fever often come with the flu."
How do I figure out what may be causing my child's cough?,0,"When your child coughs, her body is doing its job."
How do I figure out what may be causing my child's cough?,0,A cough is a reflex that clears fluid from the throat and chest.
How do I figure out what may be causing my child's cough?,0,It happens when nerve endings in those airways get irritated.
How do fluids help with a child's cough?,1,"Fluids: Give her plenty of drinks like water or juice to thin the mucus in her throat, making it easier for her to cough up phlegm."
How do fluids help with a child's cough?,0,"When your child coughs, her body is doing its job."
How do fluids help with a child's cough?,0,A cough is a reflex that clears fluid from the throat and chest.
Can cough drops help you child's cough?,1,"Cough drops: For kids over age 5, lozenges and hard candy can bring some relief to a sore throat caused by coughing."
Can cough drops help you child's cough?,0,"When your child coughs, her body is doing its job."
Can cough drops help you child's cough?,0,A cough is a reflex that clears fluid from the throat and chest.
Can cough drops help you child's cough?,0,It happens when nerve endings in those airways get irritated.
When should I call the doctor about my child's cough?,1,"But call the doctor if your child: Is not drinking or eating enough Makes a whooping sound when he breathes Runs a high fever Wheezes when he breathes Has a cough that lasts more than a month Doesn't look well to you Seek emergency help if your child: Coughs up blood Has blue lips, face, or tongue Has trouble breathing"
When should I call the doctor about my child's cough?,0,"When your child coughs, her body is doing its job."
When should I call the doctor about my child's cough?,0,A cough is a reflex that clears fluid from the throat and chest.
When should I call the doctor about my child's cough?,0,It happens when nerve endings in those airways get irritated.
Can saline drops help my child's cough?,1,Saline drops: Saline or saltwater drops in the nose can help loosen congestion.
Can saline drops help my child's cough?,0,"When your child coughs, her body is doing its job."
Can saline drops help my child's cough?,0,A cough is a reflex that clears fluid from the throat and chest.
Can saline drops help my child's cough?,0,It happens when nerve endings in those airways get irritated.
Can steam and humidity help treat a child's cough?,1,Here are a few home remedies to try: Steam: You can create your own steam room.
Can steam and humidity help treat a child's cough?,1,Close the door to your bathroom and run hot water in the shower for several minutes until the mirrors fog.
Can steam and humidity help treat a child's cough?,1,The steam helps unclog your child's nose.
Can steam and humidity help treat a child's cough?,0,"When your child coughs, her body is doing its job."
Can steam and humidity help treat a child's cough?,0,A cough is a reflex that clears fluid from the throat and chest.
Can I give my child cough medicine?,1,Ask your doctor before giving your child any cough medicine.
Can I give my child cough medicine?,1,Don't give over-the-counter cough medicine to children younger than 4.
Can I give my child cough medicine?,1,They aren't meant for young kids.
Can I give my child cough medicine?,0,"When your child coughs, her body is doing its job."
Can I give my child cough medicine?,0,A cough is a reflex that clears fluid from the throat and chest.
Why does my child cough?,1,"But if it's caused by a virus, antibiotics won't make it stop."
Why does my child cough?,1,Viral infections have to run their course.
Why does my child cough?,0,"When your child coughs, her body is doing its job."
Why does my child cough?,0,A cough is a reflex that clears fluid from the throat and chest.
Why does my child cough?,0,It happens when nerve endings in those airways get irritated.
What nutrients can help prevent osteoarthritis (OA)?,1,"Although no specific diet has been shown to prevent osteoarthritis, certain nutrients have been associated with a reduced risk of the disease or its severity."
What nutrients can help prevent osteoarthritis (OA)?,1,They include: Omega-3 fatty acids.
What nutrients can help prevent osteoarthritis (OA)?,1,"These healthy fats reduce joint inflammation, while unhealthy fats can increase it."
What nutrients can help prevent osteoarthritis (OA)?,0,"By age 65, more than half of us will have X-ray evidence of osteoarthritis, a disease in which the cartilage that covers the ends of the bones at the joints breaks down and bony overgrowth occurs."
What nutrients can help prevent osteoarthritis (OA)?,0,"For many, the result is stiffness and pain in the joint."
What nutrients can help prevent osteoarthritis (OA)?,0,"Although osteoarthritis (or OA) is more common as we age, it is not an inevitable part of aging."
How do I reduce osteoarthritis (OA) pain?,1,"In addition, there are many treatments your doctor can recommend or prescribe."
How do I reduce osteoarthritis (OA) pain?,1,"They range from over-the-counter pain relievers to injections of corticosteroids or other compounds and, eventually, surgery to replace the painful, damaged joint."
How do I reduce osteoarthritis (OA) pain?,0,"By age 65, more than half of us will have X-ray evidence of osteoarthritis, a disease in which the cartilage that covers the ends of the bones at the joints breaks down and bony overgrowth occurs."
How do I reduce osteoarthritis (OA) pain?,0,"For many, the result is stiffness and pain in the joint."
How do I reduce osteoarthritis (OA) pain?,0,"Although osteoarthritis (or OA) is more common as we age, it is not an inevitable part of aging."
What factors increase the chance of getting osteoarthritis (OA)?,1,"By age 65, more than half of us will have X-ray evidence of osteoarthritis, a disease in which the cartilage that covers the ends of the bones at the joints breaks down and bony overgrowth occurs."
What factors increase the chance of getting osteoarthritis (OA)?,1,"For many, the result is stiffness and pain in the joint."
What factors increase the chance of getting osteoarthritis (OA)?,1,Suffering a joint injury when you are young predisposes you to osteoarthritis in the same joint when you are older.
What factors increase the chance of getting osteoarthritis (OA)?,0,"Although osteoarthritis (or OA) is more common as we age, it is not an inevitable part of aging."
What factors increase the chance of getting osteoarthritis (OA)?,0,"As researchers work to understand the causes of osteoarthritis, they are able to offer advice to help prevent the disease or its progression and lessen its impact on your life."
What factors increase the chance of getting osteoarthritis (OA)?,0,Here are four steps you can take now to prevent osteoarthritis or its progression.
What is a nebulizer?,1,"!s_sensitive, chron ID: $('article embeded_module[type=video][align=top]:eq(0)').attr('chronic_id'), continuous Play: true, cp Options: { flyout: true }, display Ads: true, mode: 'in-article', sticky: true }) }); }); } else { $(function(){ $('.responsive-video-container').remove(); }); } A nebulizer changes medication from a liquid to a mist so that it can be more easily inhaled into the lungs."
What is a nebulizer?,1,Nebulizers are particularly effective in delivering asthma medications to infants and small children and to anyone who has difficulty using an asthma inhaler.
What is a nebulizer?,1,It is also convenient when a large dose of an inhaled medication is needed.
What is a nebulizer?,0,"var s_context; s_context= s_context || {}; s_context['wb.modimp'] = 'vidfloat'; if(webmd.useragent && webmd.useragent.ua.type === 'desktop'){ webmd.ads2.disable Initial Load(); webmd.ads2.disable Ads Init = true; $(function() { webmd.p.pim.increment(); $('.responsive-video-container').insert After('.module-social-share-container'); require(['video2/1/responsive-player/video-loader'], function(video Loader) { video Loader.init({ autoplay: webmd.useragent.ua.type === 'desktop' && !"
What is a nebulizer?,0,Home nebulizers are larger and must be plugged into an electrical outlet.
How do you take care of a nebulizer?,1,"Every third day, after washing your equipment, disinfect the equipment using either a vinegar/water solution or the disinfectant solution your equipment supplier suggests."
How do you take care of a nebulizer?,1,Storing Cover the compressor with a clean cloth when not in use.
How do you take care of a nebulizer?,1,"Keep it clean by wiping it with a clean, damp cloth as needed."
How do you take care of a nebulizer?,0,"var s_context; s_context= s_context || {}; s_context['wb.modimp'] = 'vidfloat'; if(webmd.useragent && webmd.useragent.ua.type === 'desktop'){ webmd.ads2.disable Initial Load(); webmd.ads2.disable Ads Init = true; $(function() { webmd.p.pim.increment(); $('.responsive-video-container').insert After('.module-social-share-container'); require(['video2/1/responsive-player/video-loader'], function(video Loader) { video Loader.init({ autoplay: webmd.useragent.ua.type === 'desktop' && !"
How do you take care of a nebulizer?,0,"!s_sensitive, chron ID: $('article embeded_module[type=video][align=top]:eq(0)').attr('chronic_id'), continuous Play: true, cp Options: { flyout: true }, display Ads: true, mode: 'in-article', sticky: true }) }); }); } else { $(function(){ $('.responsive-video-container').remove(); }); } A nebulizer changes medication from a liquid to a mist so that it can be more easily inhaled into the lungs."
How do you get a nebulizer?,1,"To obtain a nebulizer, you need a prescription from your doctor, or it can be dispensed from your pediatrician's office."
How do you get a nebulizer?,1,Portable nebulizers usually cost a little more than home nebulizers.
How do you get a nebulizer?,0,"var s_context; s_context= s_context || {}; s_context['wb.modimp'] = 'vidfloat'; if(webmd.useragent && webmd.useragent.ua.type === 'desktop'){ webmd.ads2.disable Initial Load(); webmd.ads2.disable Ads Init = true; $(function() { webmd.p.pim.increment(); $('.responsive-video-container').insert After('.module-social-share-container'); require(['video2/1/responsive-player/video-loader'], function(video Loader) { video Loader.init({ autoplay: webmd.useragent.ua.type === 'desktop' && !"
How do you get a nebulizer?,0,"!s_sensitive, chron ID: $('article embeded_module[type=video][align=top]:eq(0)').attr('chronic_id'), continuous Play: true, cp Options: { flyout: true }, display Ads: true, mode: 'in-article', sticky: true }) }); }); } else { $(function(){ $('.responsive-video-container').remove(); }); } A nebulizer changes medication from a liquid to a mist so that it can be more easily inhaled into the lungs."
How do you get a nebulizer?,0,Nebulizers are particularly effective in delivering asthma medications to infants and small children and to anyone who has difficulty using an asthma inhaler.
How can I avoid a latex allergy at work?,1,Use paper clips instead of rubber bands.
How can I avoid a latex allergy at work?,1,"Don't use erasers, either."
How can I avoid a latex allergy at work?,0,"When you're sensitive to latex, you can get a reaction from balloons, bath mats, elastic bands, and many other products made with it, including some you may not expect."
How can I avoid a latex allergy at work?,0,The best thing to do is avoid them.
How can I avoid a latex allergy at work?,0,Here's how you can stay safe.
How can I avoid a latex allergy at my doctor's office?,1,Call ahead before any appointment and tell them about your allergy.
How can I avoid a latex allergy at my doctor's office?,1,Set your appointment for the first thing in the morning.
How can I avoid a latex allergy at my doctor's office?,1,There's less chance that latex particles will be in the air then.
How can I avoid a latex allergy at my doctor's office?,0,"When you're sensitive to latex, you can get a reaction from balloons, bath mats, elastic bands, and many other products made with it, including some you may not expect."
How can I avoid a latex allergy at my doctor's office?,0,The best thing to do is avoid them.
How can I avoid a latex allergy at my doctor's office?,0,Here's how you can stay safe.
How can I avoid a latex allergy while at home?,1,"Use non-latex gloves for cleaning, washing dishes, and other household chores."
How can I avoid a latex allergy while at home?,1,Check your clothes for elastic waistbands or rubber soles.
How can I avoid a latex allergy while at home?,1,"Check your bathroom for latex condoms, rubber bath-mats, and rubber grips on toothbrushes."
How can I avoid a latex allergy while at home?,0,"When you're sensitive to latex, you can get a reaction from balloons, bath mats, elastic bands, and many other products made with it, including some you may not expect."
How can I avoid a latex allergy while at home?,0,The best thing to do is avoid them.
How can I avoid a latex allergy while at home?,0,Here's how you can stay safe.
How can antibiotics help with Crohn's disease?,1,Researchers believe they might help control symptoms by reducing bacteria levels in your intestine and by curbing the intestine's immune system.
How can antibiotics help with Crohn's disease?,0,"If you have mild to moderate Crohn's, your doctor may give you antibiotics to help keep your disease under control."
How can antibiotics help with Crohn's disease?,0,You may need to take the antibiotics even after you feel better to keep your symptoms from getting worse again.
What are the side effects of ciprofloxacin for Crohn's disease?,1,"These side effects of ciprofloxacin are rare, but may include: Headache and severe dizziness Nausea, stomach pain, and diarrhea Sensitivity to sun Rupture of a tendon (very rare) Confusion Depression Hallucinations Fast heartbeat You're also at greater risk for a severe type of colitis."
What are the side effects of ciprofloxacin for Crohn's disease?,0,"If you have mild to moderate Crohn's, your doctor may give you antibiotics to help keep your disease under control."
What are the side effects of ciprofloxacin for Crohn's disease?,0,You may need to take the antibiotics even after you feel better to keep your symptoms from getting worse again.
What are the side effects of ciprofloxacin for Crohn's disease?,0,There are two ways these drugs treat the inflammation in your gut from Crohn's.
What are common antibiotics used for Crohn's disease?,1,The most common ones used for Crohn's are: Ciprofloxacin ( Cipro) Metronidazole ( Flagyl) Some people need to get antibiotics through a vein ( IV).
What are common antibiotics used for Crohn's disease?,0,"If you have mild to moderate Crohn's, your doctor may give you antibiotics to help keep your disease under control."
What are common antibiotics used for Crohn's disease?,0,You may need to take the antibiotics even after you feel better to keep your symptoms from getting worse again.
"What are abscesses, fistulas and pouchitis in relation to Crohn's disease?",1,"These are pockets of pus that, in Crohn's, often form near the anus."
"What are abscesses, fistulas and pouchitis in relation to Crohn's disease?",1,Fistulas.
"What are abscesses, fistulas and pouchitis in relation to Crohn's disease?",1,"These are abnormal tunnels that go from one part of your intestine to another or to nearby areas, such as the bladder, vagina, anus, or skin."
"What are abscesses, fistulas and pouchitis in relation to Crohn's disease?",0,"If you have mild to moderate Crohn's, your doctor may give you antibiotics to help keep your disease under control."
"What are abscesses, fistulas and pouchitis in relation to Crohn's disease?",0,You may need to take the antibiotics even after you feel better to keep your symptoms from getting worse again.
"What are abscesses, fistulas and pouchitis in relation to Crohn's disease?",0,There are two ways these drugs treat the inflammation in your gut from Crohn's.
Can I drink alcohol while taking metronidazole for Crohn's?,1,It can interact with the drug to cause a rare but severe reaction.
Can I drink alcohol while taking metronidazole for Crohn's?,1,"The symptoms are nausea, vomiting, and shortness of breath."
Can I drink alcohol while taking metronidazole for Crohn's?,0,"If you have mild to moderate Crohn's, your doctor may give you antibiotics to help keep your disease under control."
Can I drink alcohol while taking metronidazole for Crohn's?,0,You may need to take the antibiotics even after you feel better to keep your symptoms from getting worse again.
When should you not take ciprofloxacin for Crohn's disease?,1,"Do not take ciprofloxacin within a couple of hours of taking: Antacids Vitamin or mineral supplements that contain calcium, iron, or zinc This combination can make the antibiotic less effective."
When should you not take ciprofloxacin for Crohn's disease?,0,"If you have mild to moderate Crohn's, your doctor may give you antibiotics to help keep your disease under control."
When should you not take ciprofloxacin for Crohn's disease?,0,You may need to take the antibiotics even after you feel better to keep your symptoms from getting worse again.
When should you not take ciprofloxacin for Crohn's disease?,0,There are two ways these drugs treat the inflammation in your gut from Crohn's.
What are possible side effects of ciprofloxacin for Crohn's?,1,"These side effects of ciprofloxacin are rare, but may include: Headache and severe dizziness Nausea, stomach pain, and diarrhea Sensitivity to sun Rupture of a tendon (very rare) Confusion Depression Hallucinations Fast heartbeat You're also at greater risk for a severe type of colitis."
What are possible side effects of ciprofloxacin for Crohn's?,1,"If you get it, you'll need treatment with another type of antibiotic."
What are possible side effects of ciprofloxacin for Crohn's?,0,"If you have mild to moderate Crohn's, your doctor may give you antibiotics to help keep your disease under control."
What are possible side effects of ciprofloxacin for Crohn's?,0,You may need to take the antibiotics even after you feel better to keep your symptoms from getting worse again.
What are possible side effects of ciprofloxacin for Crohn's?,0,There are two ways these drugs treat the inflammation in your gut from Crohn's.
Are there precautions to take when taking antibiotics for Crohn's?,1,No matter which antibiotic you're taking: Let your doctor know if you're pregnant before starting the medication.
Are there precautions to take when taking antibiotics for Crohn's?,1,Wear sunscreen during daylight hours.
Are there precautions to take when taking antibiotics for Crohn's?,0,"If you have mild to moderate Crohn's, your doctor may give you antibiotics to help keep your disease under control."
Are there precautions to take when taking antibiotics for Crohn's?,0,You may need to take the antibiotics even after you feel better to keep your symptoms from getting worse again.
Are there precautions to take when taking antibiotics for Crohn's?,0,There are two ways these drugs treat the inflammation in your gut from Crohn's.
What are the most common medications for ADHD?,1,The most commonly prescribed medications for ADHD are stimulants.
What are the most common medications for ADHD?,1,"These include: Amphetamine ( Adzenys XR- ODT) Amphetamine/ Dextroamphetamine ( Adderall, Adderall XR) Dexmethylphenidate ( Focalin, Focalin XR) Dextroamphetamine ( Dexedrine or Dextrostat) Lisdexamfetamine ( Vyvanse) Methylphenidate ( Concerta, Daytrana, Metadate, Methylin, Quillivant XR, Ritalin) Some of these drugs may be available in longer-acting formulations."
What are the most common medications for ADHD?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
What are the most common medications for ADHD?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
How do dosages differ in children who receive multimodal treatment of ADHD?,1,Children who receive multimodal treatment may need lower doses of medications compared to children only receiving medication.
How do dosages differ in children who receive multimodal treatment of ADHD?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
How do dosages differ in children who receive multimodal treatment of ADHD?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
What combination of drugs in multimodal treatment of ADHD is most effective?,1,A multimodal plan is effective for most children.
What combination of drugs in multimodal treatment of ADHD is most effective?,1,"The particular therapy and medication, however, will vary depending on the individual child."
What combination of drugs in multimodal treatment of ADHD is most effective?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
What combination of drugs in multimodal treatment of ADHD is most effective?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
What combination of drugs in multimodal treatment of ADHD is most effective?,0,"But with ADHD, the ability to function with daily activities is affected."
What is multimodal treatment of ADHD?,1,Multimodal treatment involves multiple methods of treatment that work together to help a child with ADHD.
What is multimodal treatment of ADHD?,1,"The main components of this approach are medications, behavioral therapy, and education."
What is multimodal treatment of ADHD?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
What is multimodal treatment of ADHD?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
What is multimodal treatment of ADHD?,0,"But with ADHD, the ability to function with daily activities is affected."
How is ADHD treated?,1,"But research suggests that for many children, the best way to manage the symptoms is a multimodal approach."
How is ADHD treated?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
How is ADHD treated?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
How many children have ADHD?,1,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
How many children have ADHD?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
How many children have ADHD?,0,"But with ADHD, the ability to function with daily activities is affected."
What are characteristics of ADHD?,1,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
What are characteristics of ADHD?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
What are characteristics of ADHD?,0,"But with ADHD, the ability to function with daily activities is affected."
What are characteristics of ADHD?,0,"A diagnosis of ADHD can be hard to make, and evaluation must be made by a specialist."
How do I know if my child has ADHD?,1,Or it could help a child complete homework.
How do I know if my child has ADHD?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
How do I know if my child has ADHD?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
How do I know if my child has ADHD?,0,"But with ADHD, the ability to function with daily activities is affected."
Why is a medical history and exam necessary for ADHD treatment?,1,"A higher risk of strokes, heart attacks, and sudden death among patients with existing heart conditions has been linked to use of ADHD medications."
Why is a medical history and exam necessary for ADHD treatment?,1,An increased risk of psychiatric problems has also been linked to ADHD medications.
Why is a medical history and exam necessary for ADHD treatment?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
Why is a medical history and exam necessary for ADHD treatment?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
What are the side effects of ADHD medicine?,1,Side effects of ADHD medicines can include: Anxiety Decreased appetite Fatigue Irritability Sleeping difficulties Skin discoloration (with patches) Upset stomach Most side effects are minor and improve with time.
What are the side effects of ADHD medicine?,1,"In some cases, doctors may lower a medication dosage to relieve side effects."
What are the side effects of ADHD medicine?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
What are the side effects of ADHD medicine?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
How does multimodal treatment benefit children with ADHD?,1,It also was effective for those with anxiety and depression in addition to ADHD.
How does multimodal treatment benefit children with ADHD?,1,Children who receive multimodal treatment may need lower doses of medications compared to children only receiving medication.
How does multimodal treatment benefit children with ADHD?,0,"ADHD (attention deficit hyperactivity disorder) is characterized by inattention, hyperactivity, and the inability to control impulses."
How does multimodal treatment benefit children with ADHD?,0,"It affects an estimated 5.2 million school-age children in the U. S. Everyone, especially younger children, may have symptoms of ADHD from time to time."
How does multimodal treatment benefit children with ADHD?,0,"But with ADHD, the ability to function with daily activities is affected."
What does education for parents of children with ADHD involve?,1,Educating parents about the disorder and its management is another important part of ADHD treatment.
What does education for parents of children with ADHD involve?,1,"For parents, this may include learning parenting skills to help the child manage his or her behavior."
